never	['N', 'EH1', 'V', 'ER0']
even	['IY1', 'V', 'IH0', 'N']
been	['B', 'IH0', 'N']
to	['T', 'AH0']
a	['EY1']
wine	['W', 'AY1', 'N']
cave	['K', 'EY1', 'V']
Entrepreneur	['AA2', 'N', 'T', 'R', 'AH0', 'P', 'R', 'AH0', 'N', 'UH1', 'R']
Andrew	['AE1', 'N', 'D', 'R', 'UW0']
Yang	['Y', 'AE1', 'NG']
in	['IH1', 'N']
a	['EY1']
bid	['B', 'IH1', 'D']
to	['T', 'AH0']
tout	['T', 'AW1', 'T']
his	['HH', 'IH0', 'Z']
Democracy	['D', 'IH0', 'M', 'AA1', 'K', 'R', 'AH0', 'S', 'IY0']
Dollars	['D', 'AO1', 'L', 'ER0', 'Z']
campaign	['K', 'AE0', 'M', 'P', 'EY1', 'N']
fundraising	['F', 'AH1', 'N', 'D', 'R', 'EY2', 'S', 'IH0', 'NG']
plan	['P', 'L', 'AE1', 'N']
which	['HH', 'W', 'IH1', 'CH']
would	['W', 'UH1', 'D']
give	['G', 'IH1', 'V']
Americans	['AH0', 'M', 'EH1', 'R', 'IH0', 'K', 'AH0', 'N', 'Z']
money	['M', 'AH1', 'N', 'IY0']
to	['T', 'AH0']
contribute	['K', 'AH0', 'N', 'T', 'R', 'IH1', 'B', 'Y', 'UW0', 'T']
to	['T', 'AH0']
political	['P', 'AH0', 'L', 'IH1', 'T', 'IH0', 'K', 'AH0', 'L']
candidates	['K', 'AE1', 'N', 'AH0', 'D', 'IH0', 'T', 'S']
said	['S', 'EH1', 'D']
If	['IH0', 'F']
we	['W', 'IY1']
were	['W', 'ER1']
to	['T', 'AH0']
put	['P', 'UH1', 'T']
one	['HH', 'W', 'AH1', 'N']
hundred	['HH', 'AH1', 'N', 'D', 'ER0', 'D']
Democracy	['D', 'IH0', 'M', 'AA1', 'K', 'R', 'AH0', 'S', 'IY0']
Dollars	['D', 'AO1', 'L', 'ER0', 'Z']
into	['IH0', 'N', 'T', 'AH0']
the	['DH', 'IY0']
hands	['HH', 'AE1', 'N', 'Z']
of	['AH0', 'V']
every	['EH1', 'V', 'R', 'IY0']
American	['AH0', 'M', 'EH1', 'R', 'IH0', 'K', 'AH0', 'N']
voter	['V', 'OW1', 'T', 'ER0']
instead	['IH0', 'N', 'S', 'T', 'EH1', 'D']
of	['AH0', 'V']
five	['F', 'AY1', 'V']
contributes	['K', 'AH0', 'N', 'T', 'R', 'IH1', 'B', 'Y', 'UW0', 'T', 'S']
you'd	['Y', 'UW1']
see	['S', 'IY1']
the	['DH', 'IY0']
rates	['R', 'EY1', 'T', 'S']
skyrockets	['S', 'K', 'AY1', 'R', 'AA2', 'K', 'AH0', 'T', 'S']
and	['AE1', 'N', 'D']
you	['Y', 'UW1']
would	['W', 'UH1', 'D']
have	['HH', 'AE1', 'V']
many	['M', 'EH1', 'N', 'IY0']
many	['M', 'EH1', 'N', 'IY0']
more	['M', 'AO1', 'R']
women	['W', 'IH1', 'M', 'AH0', 'N']
that	['DH', 'AH0', 'T']
would	['W', 'UH1', 'D']
run	['R', 'AH1', 'N']
for	['F', 'R', 'ER0']
office	['AO1', 'F', 'AH0', 'S']
because	['B', 'IH0', 'K', 'AH0', 'Z']
they	['DH', 'EY1']
don't	['D', 'AA1', 'N']
have	['HH', 'AE1', 'V']
to	['T', 'AH0']
shake	['SH', 'EY1', 'K']
the	['DH', 'IY0']
money	['M', 'AH1', 'N', 'IY0']
tree	['T', 'R', 'IY1']
in	['IH1', 'N']
the	['DH', 'IY0']
wine	['W', 'AY1', 'N']
cave	['K', 'EY1', 'V']
Buttigieg	Buttigieg
defended	['D', 'IH0', 'F', 'EH1', 'N', 'D', 'IH0', 'D']
his	['HH', 'IH0', 'Z']
fundraising	['F', 'AH1', 'N', 'D', 'R', 'EY2', 'S', 'IH0', 'NG']
by	['B', 'AY1']
saying	['S', 'EY1', 'IH0', 'NG']
We're	['W', 'IY1']
in	['IH1', 'N']
the	['DH', 'IY0']
fight	['F', 'AY1', 'T']
of	['AH0', 'V']
our	['AA1', 'R']
lives	['L', 'AY1', 'V', 'Z']
right	['R', 'AY1', 'T']
now	['N', 'AW1']
Donald	['D', 'AA1', 'N', 'AH0', 'L', 'D']
Trump	['T', 'R', 'AH1', 'M', 'P']
and	['AE1', 'N', 'D']
his	['HH', 'IH0', 'Z']
allies	['AH0', 'L', 'AY1', 'Z']
have	['HH', 'AE1', 'V']
made	['M', 'EY1', 'D']
it	['IH0', 'T']
abundantly	['AH0', 'B', 'AH1', 'N', 'D', 'AH0', 'N', 'T', 'L', 'IY0']
clear	['K', 'L', 'IH1', 'R']
that	['DH', 'AH0', 'T']
they	['DH', 'EY1']
will	['W', 'AH0', 'L']
stop	['S', 'T', 'AA1', 'P']
at	['AE1', 'T']
nothing	['N', 'AH1', 'TH', 'IH0', 'NG']
not	['N', 'AA1', 'T']
even	['IY1', 'V', 'IH0', 'N']
foreign	['F', 'AA1', 'R', 'AH0', 'N']
interference	['IH2', 'N', 'ER0', 'F', 'IH1', 'R', 'AH0', 'N', 'S']
to	['T', 'AH0']
hold	['HH', 'OW1', 'L', 'D']
on	['AO1', 'N']
to	['T', 'AH0']
power	['P', 'AW1', 'ER0']
They	['DH', 'EY1']
have	['HH', 'AE1', 'V']
already	['AO0', 'R', 'EH1', 'D', 'IY0']
put	['P', 'UH1', 'T']
together	['T', 'AH0', 'G', 'EH1', 'DH', 'ER0']
more	['M', 'AO1', 'R']
than	['DH', 'AH0', 'N']
